Query_Id,Query,Query_Category,System_Output,Remarks
1,Why did the outcome 'delivery investigation' occur?,task1,,"Target outcome=delivery investigation, example_call_ids=6794-8660-4606-3216;3240-6559-2310-6416;9295-7772-7972-4826"
2,What factors contributed to 'delivery investigation'?,followup,,"Target outcome=delivery investigation, example_call_ids=6794-8660-4606-3216;3240-6559-2310-6416;9295-7772-7972-4826"
3,Which turns serve as evidence for 'delivery investigation' and why?,followup,,"Target outcome=delivery investigation, example_call_ids=6794-8660-4606-3216;3240-6559-2310-6416;9295-7772-7972-4826"
4,Why did the outcome 'escalation - repeated service failures' occur?,task1,,"Target outcome=escalation - repeated service failures, example_call_ids=7034-5430-2980-5483;4967-8141-1813-8658;3631-7868-1079-2880"
5,What factors contributed to 'escalation - repeated service failures'?,followup,,"Target outcome=escalation - repeated service failures, example_call_ids=7034-5430-2980-5483;4967-8141-1813-8658;3631-7868-1079-2880"
6,Which turns serve as evidence for 'escalation - repeated service failures' and why?,followup,,"Target outcome=escalation - repeated service failures, example_call_ids=7034-5430-2980-5483;4967-8141-1813-8658;3631-7868-1079-2880"
7,Why did the outcome 'fraud alert investigation' occur?,task1,,"Target outcome=fraud alert investigation, example_call_ids=1846-5500-2990-8975;1616-8531-3291-5075;3442-1368-8679-3086"
8,What factors contributed to 'fraud alert investigation'?,followup,,"Target outcome=fraud alert investigation, example_call_ids=1846-5500-2990-8975;1616-8531-3291-5075;3442-1368-8679-3086"
9,Which turns serve as evidence for 'fraud alert investigation' and why?,followup,,"Target outcome=fraud alert investigation, example_call_ids=1846-5500-2990-8975;1616-8531-3291-5075;3442-1368-8679-3086"
10,Why did the outcome 'account access issues' occur?,task1,,"Target outcome=account access issues, example_call_ids=7441-4348-3458-2384;5145-3123-6526-1425;1189-8107-2320-9414"
11,What factors contributed to 'account access issues'?,followup,,"Target outcome=account access issues, example_call_ids=7441-4348-3458-2384;5145-3123-6526-1425;1189-8107-2320-9414"
12,Which turns serve as evidence for 'account access issues' and why?,followup,,"Target outcome=account access issues, example_call_ids=7441-4348-3458-2384;5145-3123-6526-1425;1189-8107-2320-9414"
13,Why did the outcome 'service interruptions' occur?,task1,,"Target outcome=service interruptions, example_call_ids=1629-4503-4766-7087;6979-7103-8775-2134;5918-5582-1034-7021"
14,What factors contributed to 'service interruptions'?,followup,,"Target outcome=service interruptions, example_call_ids=1629-4503-4766-7087;6979-7103-8775-2134;5918-5582-1034-7021"
15,Which turns serve as evidence for 'service interruptions' and why?,followup,,"Target outcome=service interruptions, example_call_ids=1629-4503-4766-7087;6979-7103-8775-2134;5918-5582-1034-7021"
16,"Why did the outcome 'multiple issues - fraud, account & security' occur?",task1,,"Target outcome=multiple issues - fraud, account & security, example_call_ids=3146-8438-3705-5746;1468-9534-8230-5770;2389-4556-7567-2157"
17,"What factors contributed to 'multiple issues - fraud, account & security'?",followup,,"Target outcome=multiple issues - fraud, account & security, example_call_ids=3146-8438-3705-5746;1468-9534-8230-5770;2389-4556-7567-2157"
18,"Which turns serve as evidence for 'multiple issues - fraud, account & security' and why?",followup,,"Target outcome=multiple issues - fraud, account & security, example_call_ids=3146-8438-3705-5746;1468-9534-8230-5770;2389-4556-7567-2157"
19,Why did the outcome 'escalation - unauthorized account closure' occur?,task1,,"Target outcome=escalation - unauthorized account closure, example_call_ids=2801-6816-9124-1355;2507-4864-2826-9884;6330-1131-2887-6227"
20,What factors contributed to 'escalation - unauthorized account closure'?,followup,,"Target outcome=escalation - unauthorized account closure, example_call_ids=2801-6816-9124-1355;2507-4864-2826-9884;6330-1131-2887-6227"
21,Which turns serve as evidence for 'escalation - unauthorized account closure' and why?,followup,,"Target outcome=escalation - unauthorized account closure, example_call_ids=2801-6816-9124-1355;2507-4864-2826-9884;6330-1131-2887-6227"
22,Why did the outcome 'appointment scheduling' occur?,task1,,"Target outcome=appointment scheduling, example_call_ids=3119-8031-4703-9428;7920-1584-3087-3622;8903-2309-1868-2523"
23,What factors contributed to 'appointment scheduling'?,followup,,"Target outcome=appointment scheduling, example_call_ids=3119-8031-4703-9428;7920-1584-3087-3622;8903-2309-1868-2523"
24,Which turns serve as evidence for 'appointment scheduling' and why?,followup,,"Target outcome=appointment scheduling, example_call_ids=3119-8031-4703-9428;7920-1584-3087-3622;8903-2309-1868-2523"
25,Why did the outcome 'multiple issues - returns & account inquiries' occur?,task1,,"Target outcome=multiple issues - returns & account inquiries, example_call_ids=8208-2068-2030-5922;3695-5343-9733-7195;1211-3307-5945-8289"
26,What factors contributed to 'multiple issues - returns & account inquiries'?,followup,,"Target outcome=multiple issues - returns & account inquiries, example_call_ids=8208-2068-2030-5922;3695-5343-9733-7195;1211-3307-5945-8289"
27,Which turns serve as evidence for 'multiple issues - returns & account inquiries' and why?,followup,,"Target outcome=multiple issues - returns & account inquiries, example_call_ids=8208-2068-2030-5922;3695-5343-9733-7195;1211-3307-5945-8289"
28,"Why did the outcome 'multiple issues - order status, billing & account' occur?",task1,,"Target outcome=multiple issues - order status, billing & account, example_call_ids=5833-1489-9857-5012;9961-2587-7851-4802;4486-5792-2718-1512"
29,"What factors contributed to 'multiple issues - order status, billing & account'?",followup,,"Target outcome=multiple issues - order status, billing & account, example_call_ids=5833-1489-9857-5012;9961-2587-7851-4802;4486-5792-2718-1512"
30,"Which turns serve as evidence for 'multiple issues - order status, billing & account' and why?",followup,,"Target outcome=multiple issues - order status, billing & account, example_call_ids=5833-1489-9857-5012;9961-2587-7851-4802;4486-5792-2718-1512"
31,Why did the outcome 'escalation - threat of legal action' occur?,task1,,"Target outcome=escalation - threat of legal action, example_call_ids=3883-8555-9747-5746;5405-1959-8150-2620;4471-5440-7427-7835"
32,What factors contributed to 'escalation - threat of legal action'?,followup,,"Target outcome=escalation - threat of legal action, example_call_ids=3883-8555-9747-5746;5405-1959-8150-2620;4471-5440-7427-7835"
33,Which turns serve as evidence for 'escalation - threat of legal action' and why?,followup,,"Target outcome=escalation - threat of legal action, example_call_ids=3883-8555-9747-5746;5405-1959-8150-2620;4471-5440-7427-7835"
34,Why did the outcome 'multiple issues - order status & account access' occur?,task1,,"Target outcome=multiple issues - order status & account access, example_call_ids=7985-4046-4788-7982;7038-2056-8606-6726;7238-3777-3397-3997"
35,What factors contributed to 'multiple issues - order status & account access'?,followup,,"Target outcome=multiple issues - order status & account access, example_call_ids=7985-4046-4788-7982;7038-2056-8606-6726;7238-3777-3397-3997"
36,Which turns serve as evidence for 'multiple issues - order status & account access' and why?,followup,,"Target outcome=multiple issues - order status & account access, example_call_ids=7985-4046-4788-7982;7038-2056-8606-6726;7238-3777-3397-3997"
37,Why did the outcome 'claim denials' occur?,task1,,"Target outcome=claim denials, example_call_ids=4472-7535-3030-5147;2854-7079-6094-7337;1031-8615-5104-6518"
38,What factors contributed to 'claim denials'?,followup,,"Target outcome=claim denials, example_call_ids=4472-7535-3030-5147;2854-7079-6094-7337;1031-8615-5104-6518"
39,Which turns serve as evidence for 'claim denials' and why?,followup,,"Target outcome=claim denials, example_call_ids=4472-7535-3030-5147;2854-7079-6094-7337;1031-8615-5104-6518"
40,Why did the outcome 'business event - system conversion failure' occur?,task1,,"Target outcome=business event - system conversion failure, example_call_ids=4741-5722-8435-4375;5944-7319-3272-4675;3123-8916-3689-3847"
41,What factors contributed to 'business event - system conversion failure'?,followup,,"Target outcome=business event - system conversion failure, example_call_ids=4741-5722-8435-4375;5944-7319-3272-4675;3123-8916-3689-3847"
42,Which turns serve as evidence for 'business event - system conversion failure' and why?,followup,,"Target outcome=business event - system conversion failure, example_call_ids=4741-5722-8435-4375;5944-7319-3272-4675;3123-8916-3689-3847"
43,Why did the outcome 'business event - warehouse fire' occur?,task1,,"Target outcome=business event - warehouse fire, example_call_ids=5800-6031-4741-5151;1183-9381-7716-7043;6950-4472-2173-7689"
44,What factors contributed to 'business event - warehouse fire'?,followup,,"Target outcome=business event - warehouse fire, example_call_ids=5800-6031-4741-5151;1183-9381-7716-7043;6950-4472-2173-7689"
45,Which turns serve as evidence for 'business event - warehouse fire' and why?,followup,,"Target outcome=business event - warehouse fire, example_call_ids=5800-6031-4741-5151;1183-9381-7716-7043;6950-4472-2173-7689"
46,Why did the outcome 'business event - system outage' occur?,task1,,"Target outcome=business event - system outage, example_call_ids=6492-5065-6070-9460;9359-6019-1904-3384;8491-6824-8329-1153"
47,What factors contributed to 'business event - system outage'?,followup,,"Target outcome=business event - system outage, example_call_ids=6492-5065-6070-9460;9359-6019-1904-3384;8491-6824-8329-1153"
48,Which turns serve as evidence for 'business event - system outage' and why?,followup,,"Target outcome=business event - system outage, example_call_ids=6492-5065-6070-9460;9359-6019-1904-3384;8491-6824-8329-1153"
49,"Why did the outcome 'multiple issues - claim, coverage & policy' occur?",task1,,"Target outcome=multiple issues - claim, coverage & policy, example_call_ids=7902-4391-3206-9560;8962-9694-1484-3778;5465-7116-6855-3319"
50,"What factors contributed to 'multiple issues - claim, coverage & policy'?",followup,,"Target outcome=multiple issues - claim, coverage & policy, example_call_ids=7902-4391-3206-9560;8962-9694-1484-3778;5465-7116-6855-3319"
51,"Which turns serve as evidence for 'multiple issues - claim, coverage & policy' and why?",followup,,"Target outcome=multiple issues - claim, coverage & policy, example_call_ids=7902-4391-3206-9560;8962-9694-1484-3778;5465-7116-6855-3319"
52,Why did the outcome 'business event - product recall' occur?,task1,,"Target outcome=business event - product recall, example_call_ids=3560-4803-2375-1211;3851-2806-3760-4596;6947-9971-7317-1597"
53,What factors contributed to 'business event - product recall'?,followup,,"Target outcome=business event - product recall, example_call_ids=3560-4803-2375-1211;3851-2806-3760-4596;6947-9971-7317-1597"
54,Which turns serve as evidence for 'business event - product recall' and why?,followup,,"Target outcome=business event - product recall, example_call_ids=3560-4803-2375-1211;3851-2806-3760-4596;6947-9971-7317-1597"
55,"Why did the outcome 'multiple issues - scheduling, prescriptions & insurance' occur?",task1,,"Target outcome=multiple issues - scheduling, prescriptions & insurance, example_call_ids=2410-1613-1948-5896;6594-2161-6169-6795;9825-7789-6667-1373"
